epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.3658,0.90026,3.83948,1.26538,0.01232,1,0.14483,0.1075,0.63945,4.19578,1.11352,8e-05,8e-05,8e-05
2,153.811,0.69557,3.36381,1.08904,0.00697,1,0.27085,0.21323,0.60257,3.97686,1.0269,0.000166634,0.000166634,0.000166634
3,271.796,0.66163,2.95752,1.05097,0.9325,0.16376,0.41518,0.3483,0.71925,3.54677,1.16861,0.000249704,0.000249704,0.000249704
4,339.896,0.65748,2.51644,1.0445,1,0.05221,0.41371,0.33778,0.7909,3.56307,1.16734,0.00032921,0.00032921,0.00032921
5,374.811,0.70961,2.34262,1.08404,1,0.08311,0.43778,0.35327,0.85483,3.4707,1.17055,0.000405152,0.000405152,0.000405152
6,430.88,0.75258,2.30194,1.09671,0.91779,0.32516,0.50608,0.39336,0.76208,3.26495,1.09147,0.00047753,0.00047753,0.00047753
7,466.537,0.70641,2.16248,1.05473,0.74118,0.36288,0.59065,0.44556,0.85849,3.11222,1.20445,0.000546344,0.000546344,0.000546344
8,506.926,0.70297,1.9476,1.02563,0.42432,0.31068,0.57086,0.40725,0.88663,3.34208,1.22903,0.000611594,0.000611594,0.000611594
9,613.82,0.71478,1.8875,1.04343,0.65636,0.5313,0.60475,0.46446,0.95731,2.94389,1.2108,0.00067328,0.00067328,0.00067328
10,712.32,0.71923,1.82168,1.05156,0.55894,0.35177,0.62634,0.51844,0.90321,3.01331,1.22287,0.000731402,0.000731402,0.000731402
11,820.149,0.71974,1.85449,1.07451,0.59674,0.58333,0.61235,0.47441,0.81837,2.05813,1.1498,0.00078596,0.00078596,0.00078596
12,917.707,0.67605,1.69077,1.02442,0.73588,0.38222,0.46351,0.373,0.82996,2.40647,1.24376,0.0007822,0.0007822,0.0007822
13,954.977,0.7015,1.63299,1.02262,0.88722,0.4,0.50189,0.42301,0.64782,2.33712,1.02998,0.0007624,0.0007624,0.0007624
14,1030.53,0.64187,1.53949,0.9974,0.55299,0.6,0.81964,0.61222,0.63838,2.06073,1.01172,0.0007426,0.0007426,0.0007426
15,1096.97,0.65743,1.56279,1.01019,0.8929,0.55,0.81729,0.6828,0.61733,2.44618,1.00508,0.0007228,0.0007228,0.0007228
16,1130.29,0.65966,1.43208,0.98708,0.70884,0.76165,0.78557,0.67886,0.56503,2.03707,0.96771,0.000703,0.000703,0.000703
17,1163.03,0.68018,1.40848,1.02532,0.78373,0.76311,0.79242,0.59426,0.74647,2.22897,1.04787,0.0006832,0.0006832,0.0006832
18,1195.45,0.65249,1.43022,1.02349,0.81136,0.7024,0.97799,0.68855,0.69057,2.60798,1.03254,0.0006634,0.0006634,0.0006634
19,1228.17,0.64883,1.3496,0.99722,0.82568,0.69922,0.88573,0.77071,0.66948,2.38736,0.99809,0.0006436,0.0006436,0.0006436
20,1261.03,0.60899,1.37567,0.97873,0.63675,0.98333,0.99047,0.81891,0.64174,1.78616,0.96151,0.0006238,0.0006238,0.0006238
21,1294.32,0.60631,1.27606,0.98931,0.75526,0.98333,0.98773,0.74023,0.57944,1.73684,0.95967,0.000604,0.000604,0.000604
22,1327.57,0.60028,1.33043,0.99728,0.78317,0.95378,0.98243,0.72734,0.58917,1.97493,0.99678,0.0005842,0.0005842,0.0005842
23,1360.65,0.58467,1.24188,0.9716,0.72276,0.93178,0.98086,0.74306,0.61811,2.03162,1.058,0.0005644,0.0005644,0.0005644
24,1393.64,0.55189,1.13306,0.93147,0.6651,0.94341,0.98185,0.65145,0.79058,2.06975,1.21253,0.0005446,0.0005446,0.0005446
25,1426.71,0.56035,1.096,0.95512,0.78485,0.93333,0.97788,0.66941,0.72583,1.81157,1.17373,0.0005248,0.0005248,0.0005248
26,1459.59,0.5635,1.16033,0.9498,0.86884,0.93477,0.99377,0.71487,0.73349,1.81809,1.20605,0.000505,0.000505,0.000505
27,1492.48,0.54252,1.07618,0.93744,0.85531,0.93423,0.89304,0.6069,0.80212,1.85798,1.24849,0.0004852,0.0004852,0.0004852
28,1522.65,0.53497,1.09664,0.96627,0.92599,0.91859,0.995,0.6962,0.69471,1.79279,1.11903,0.0004654,0.0004654,0.0004654
29,1544.4,0.53681,1.0503,0.95066,0.88915,0.91725,0.99377,0.63866,0.71134,1.89166,1.14121,0.0004456,0.0004456,0.0004456
30,1568.55,0.49775,1.02673,0.93833,0.88247,0.91717,0.99254,0.68753,0.79535,1.80886,1.20349,0.0004258,0.0004258,0.0004258
31,1600.04,0.47664,0.97384,0.94441,0.86853,0.96429,0.99254,0.69377,0.72077,1.46939,1.17599,0.000406,0.000406,0.000406
32,1631.17,0.52224,0.99173,0.93111,0.89975,0.96667,0.99254,0.71069,0.68787,1.28217,1.1324,0.0003862,0.0003862,0.0003862
